"Step","-EGFR-EGFR_compounds_lipinsky.csv.GPS.CustomGatedGCN+Transformer+RWSE.r0 - train/mae","-EGFR-EGFR_compounds_lipinsky.csv.GPS.CustomGatedGCN+Transformer+RWSE.r0 - train/mae__MIN","-EGFR-EGFR_compounds_lipinsky.csv.GPS.CustomGatedGCN+Transformer+RWSE.r0 - train/mae__MAX"
"0","1.61642","1.61642","1.61642"
"1","1.51175","1.51175","1.51175"
"2","1.23279","1.23279","1.23279"
"3","0.8836","0.8836","0.8836"
"4","0.7487","0.7487","0.7487"
"5","0.68394","0.68394","0.68394"
"6","0.65109","0.65109","0.65109"
"7","0.60981","0.60981","0.60981"
"8","0.57222","0.57222","0.57222"
"9","0.55344","0.55344","0.55344"
"10","0.54917","0.54917","0.54917"
"11","0.52191","0.52191","0.52191"
"12","0.5104","0.5104","0.5104"
"13","0.49772","0.49772","0.49772"
"14","0.48286","0.48286","0.48286"
"15","0.46088","0.46088","0.46088"
"16","0.46155","0.46155","0.46155"
"17","0.4433","0.4433","0.4433"
"18","0.44174","0.44174","0.44174"
"19","0.45377","0.45377","0.45377"
"20","0.42762","0.42762","0.42762"
"21","0.41937","0.41937","0.41937"
"22","0.41347","0.41347","0.41347"
"23","0.40617","0.40617","0.40617"
"24","0.38962","0.38962","0.38962"
"25","0.39247","0.39247","0.39247"
"26","0.37274","0.37274","0.37274"
"27","0.3812","0.3812","0.3812"
"28","0.35931","0.35931","0.35931"
"29","0.36475","0.36475","0.36475"
"30","0.35422","0.35422","0.35422"
"31","0.35404","0.35404","0.35404"
"32","0.35384","0.35384","0.35384"
"33","0.35053","0.35053","0.35053"
"34","0.34809","0.34809","0.34809"
"35","0.34495","0.34495","0.34495"
"36","0.32657","0.32657","0.32657"
"37","0.31541","0.31541","0.31541"
"38","0.31934","0.31934","0.31934"
"39","0.33541","0.33541","0.33541"
"40","0.3042","0.3042","0.3042"
"41","0.3162","0.3162","0.3162"
"42","0.30656","0.30656","0.30656"
"43","0.31233","0.31233","0.31233"
"44","0.30511","0.30511","0.30511"
"45","0.29751","0.29751","0.29751"
"46","0.29366","0.29366","0.29366"
"47","0.29231","0.29231","0.29231"
"48","0.28716","0.28716","0.28716"
"49","0.28117","0.28117","0.28117"
"50","0.28111","0.28111","0.28111"
"51","0.27265","0.27265","0.27265"
"52","0.27648","0.27648","0.27648"
"53","0.27553","0.27553","0.27553"
"54","0.26581","0.26581","0.26581"
"55","0.27264","0.27264","0.27264"
"56","0.26","0.26","0.26"
"57","0.2619","0.2619","0.2619"
"58","0.25898","0.25898","0.25898"
"59","0.26031","0.26031","0.26031"
"60","0.25953","0.25953","0.25953"
"61","0.24845","0.24845","0.24845"
"62","0.25165","0.25165","0.25165"
"63","0.24326","0.24326","0.24326"
"64","0.24624","0.24624","0.24624"
"65","0.23633","0.23633","0.23633"
"66","0.24062","0.24062","0.24062"
"67","0.23621","0.23621","0.23621"
